,word,sentence,title,url,identifier
19,digiti,"  Having public material consolidated, digitized and machine readable will allow journalists, activists, and others to be better informed",Community Turns Out to Celebrate Promise of Democracy’s Library,https://blog.archive.org/2022/10/,46
20,digiti," Canada has contributed crawls by the Library and Archives Canada of all the country’s government websites, as well as digitized microfilm and books from the Canadian Research Knowledge Network, Canadiana, and the University of Toronto",Community Turns Out to Celebrate Promise of Democracy’s Library,https://blog.archive.org/2022/10/,46
21,digiti," For more than three decades, Malamud has not just talked in theory about why government materials should be online—he has taken action to digitize and upload massive amounts of data himself",2022 Internet Archive Hero Award: Carl Malamud,https://blog.archive.org/2022/10/,48
22,scan," Malamud has expanded his efforts internationally, working with organizations in India to scan government and cultural information",2022 Internet Archive Hero Award: Carl Malamud,https://blog.archive.org/2022/10/,48
23,digiti," In the CDL lawsuit, they have admitted that of the millions of books we have digitized, they themselves have only made about 33,000 available to libraries; only about 1% of what we have done, and only under restrictive and expensive license agreements",The CDL Lawsuit and the Future of Libraries,https://blog.archive.org/2022/10/,50
24,digiti,"This year’s Library Leaders Forum kicked off on October 12 with news of promising research, digitization projects and advocacy efforts designed to best shape the library of the future",Library Leaders Forum Recap,https://blog.archive.org/2022/10/,51
25,scan," In Canada, a large digitization project is underway at the University of Toronto, where 40,000 titles in the library’s government collection are being scanned and made available online for easier public access",Library Leaders Forum Recap,https://blog.archive.org/2022/10/,51
26,digiti," Over three decades, he has digitized and uploaded thousands of documents from Congressional hearings, government films, and worked with the executive branch to shape public policy on information sharing",Internet Archive to Honor Carl Malamud with 2022 Hero Award,https://blog.archive.org/2022/10/,52
27,digiti," See the lifecycle of physical books acquired by the Internet Archive — donation, preservation, digitization, and access",“Doors Open” — Go Behind–the-Scenes at the Physical Archive of the Internet Archive,https://blog.archive.org/2022/09/,54
28,scan," We’ll also present samples from generous donations and acquisitions of books, records, microfiche, and film, and demonstrate the Archive’s high-end motion-picture film scanner",“Doors Open” — Go Behind–the-Scenes at the Physical Archive of the Internet Archive,https://blog.archive.org/2022/09/,54
29,digiti," The Internet Archive has been a DPLA content provider since 2015, primarily contributing digital materials from our many print digitizing partnerships",Community Webs collections now available in Digital Public Library of America,https://blog.archive.org/2022/09/,55
30,digiti," This included plans to incorporate digitization, digital preservation and other forms of digital collecting into Community Webs, as well as projects and services either newly released or in development at IA","Internet Archive Hosts Community Webs Symposium in Washington, DC",https://blog.archive.org/2022/07/,73
31,scan, A book called “Graphis New Talent Annual 2016” had been scanned just the day before by Internet Archive’s scanning center in the Philippines,“Have you played Atari today?”,https://blog.archive.org/2022/07/,74
32,scan," Finally, there was my answer! Internet Archive’s relentless scanning of books, its lending library, its full-text search capability, and my little TIARA script delivered a fact that I had been seeking for years",“Have you played Atari today?”,https://blog.archive.org/2022/07/,74
33,scan,"” Through CDL, the Internet Archive and other libraries make and lend out digital scans of print books in our collections, subject to strict technical controls",Internet Archive Seeks Summary Judgment in Federal Lawsuit Filed By Publishing Companies,https://blog.archive.org/2022/07/,75
34,digiti," However, I was able to locate older editions of both books that were available for borrowing at the Internet Archive, and was able to direct the healthcare workers requesting these materials to the digitized books at the Internet Archive","Librarian: If the publishers’ lawsuit is successful, “libraries of all varieties and the communities they serve will suffer.”",https://blog.archive.org/2022/07/,76
35,scan," Through Controlled Digital Lending (“CDL”), the Internet Archive and other nonprofit libraries make and lend out digital scans of print books in their collections, subject to strict technical controls",EFF Legal Director: “Copyright law does not stand in the way of a library’s right to lend its books”,https://blog.archive.org/2022/07/,78
36,digiti," They are wrong: Libraries have paid publishers billions of dollars for the books in their print collections, and are investing enormous resources in digitization in order to preserve those texts",EFF Legal Director: “Copyright law does not stand in the way of a library’s right to lend its books”,https://blog.archive.org/2022/07/,78
37,scan,"  We have been lending scanned digital copies of print books for more than 10 years, and it has helped millions of digital learners","Internet Archive Founder: “We are defending the rights of libraries to serve our patrons where they are, online”",https://blog.archive.org/2022/07/,79
38,digiti," In 2020, four of the world’s largest publishers sued our non-profit library to stop us from digitizing books and lending them for free to the public","GITCOIN Grants: Donate a Few Tokens, Defend a Public Treasure",https://blog.archive.org/2022/06/,84
39,digiti,4 million digitized books,"GITCOIN Grants: Donate a Few Tokens, Defend a Public Treasure",https://blog.archive.org/2022/06/,84
40,digiti," What’s really at stake? The right of all libraries to own, digitize and lend books of any kind","GITCOIN Grants: Donate a Few Tokens, Defend a Public Treasure",https://blog.archive.org/2022/06/,84
41,digiti, We discovered that the Richardson book had been digitized by the University of North Carolina at Chapel Hill and was available online through the Internet Archive,We Can Rebuild It: Using the Internet Archive to Discover Original Order,https://blog.archive.org/2022/06/,85
42,digiti," We have mainly been sharing our newspaper collection at the Internet Archive, but once it was digitized, we felt compelled to share Alice’s scrapbook there, too!",We Can Rebuild It: Using the Internet Archive to Discover Original Order,https://blog.archive.org/2022/06/,85
43,scan,"  While there are myriad options for the general public to watch these channels today in realtime, there is no research-oriented archival interface designed for journalists and scholars to understand their coverage at the scale of days to months, to scan for key visuals and events and to comment, discuss and illustrate how nations are portraying major stories","A New Approach To Understanding War Through Television News: Introducing The TV News Visual Explorer & The Belarusian, Russian & Ukrainian TV News Archive",https://blog.archive.org/2022/06/,86
44,digiti, The MLA donated 21 of its monographs to the Internet Archive for digitization and worked with authors to make the material free to the public under Creative Commons licenses,Music Library Association Opens Publications at Internet Archive,https://blog.archive.org/2022/05/,89
45,digiti,"  “In Hong Kong, because the government is restricting and policing speech in a way that is even causing libraries to remove books from shelves, I thought that it would be good to digitize books about Hong Kong that might be in danger of disappearing entirely,” Wan said",Preserving Pro-Democracy Books From Shuttered Hong Kong Bookstore,https://blog.archive.org/2022/05/,92
46,digiti, “I thought that it would be good to digitize books about Hong Kong that might be in danger of disappearing entirely,Preserving Pro-Democracy Books From Shuttered Hong Kong Bookstore,https://blog.archive.org/2022/05/,92
47,digiti,"”Albert Wan, owner of the now-closed Bleak House Books Hearing that Bleak House Books would be shutting its doors, the Internet Archive reached out and offered to digitize its remaining books",Preserving Pro-Democracy Books From Shuttered Hong Kong Bookstore,https://blog.archive.org/2022/05/,92
48,digiti," So, he gathered contributions from others, and along with some from his own collection, donated about thirty books and some periodicals to the Internet Archive for preservation and digitization",Preserving Pro-Democracy Books From Shuttered Hong Kong Bookstore,https://blog.archive.org/2022/05/,92
49,scan," Wan said he was amazed at how flexible and open the Archive was in the process, assisting with shipping and scanning the materials at no cost to him",Preserving Pro-Democracy Books From Shuttered Hong Kong Bookstore,https://blog.archive.org/2022/05/,92
50,digiti," “There are still titles out there that have never been digitized and might be on the radar for being purged or sort of hidden from public view,” Wan said",Preserving Pro-Democracy Books From Shuttered Hong Kong Bookstore,https://blog.archive.org/2022/05/,92
51,digiti, “The hope is that more people would contribute and donate those kinds of books to the Archive and have them digitized so that people still have access to them,Preserving Pro-Democracy Books From Shuttered Hong Kong Bookstore,https://blog.archive.org/2022/05/,92
52,scan,"  Speakers: Forgotten Histories of the Mid-Century Coding Bootcamp, [watch] Kate Miltner (University of Edinburgh)Japan As They Saw It, [watch] Tom Gally (University of Tokyo)The Bibliography of Life, [watch] Rod Page (University of Glasgow)Q&A #1 [watch]More Than Words: Fed Chairs’ Communication During Congressional Testimonies, [watch] Michelle Alexopoulos (University of Toronto)WARC Collection Summarization, [watch] Sawood Alam (Internet Archive)Automatic scanning with an Internet Archive TT scanner, [watch] Art Rhyno (University of Windsor)Q&A #2 [watch]Automated Hashtag Hierarchy Generation Using Community Detection and the Shannon Diversity Index, [watch] Spencer Torene (Thomson Reuters Special Services, LLC)My Internet Archive Enabled Journey As A Digital Humanities Citizen Scientist, [watch] Jim SalmonsWeb and cities: (early internet) geographies through the lenses of the Internet Archive, [watch] Emmanouil Tranos (University of Bristol)Forgotten Novels of the 19th Century, [watch] Tom Gally (University of Tokyo)Q&A #3 [watch] Links shared during the session are available in the series Resource Guide",Library as Laboratory: Lightning Talks,https://blog.archive.org/2022/05/,97
53,scan,"  Automatic scanning with an Internet Archive TT scanner (video) Art Rhyno (University of Windsor) The University of Windsor has set up a mechanism for automatic scanning with an Internet Archive TT scanner, used for the library’s Major Papers collection",Library as Laboratory: Lightning Talks,https://blog.archive.org/2022/05/,97
54,digiti," From television news to digitized books and periodicals, dozens of projects rely on the collections available at archive",Library as Laboratory Recap: Opening Television News for Deep Analysis and New Forms of Interactive Search,https://blog.archive.org/2022/04/,98
55,digiti, Why was your organization interested in participating in Community Webs?  The Community Webs program was attractive to ICC because it provided the training and the storage to effectively preserve ICC’s digitized & born-digital archival materials,Sharing Inuit Voices Across Time: Inuit Circumpolar Council Alaska’s Web and Digital Archive,https://blog.archive.org/2022/04/,101
56,digiti," This work dovetails nicely with ICC Alaska’s efforts to digitize 47 boxes, or around 80 linear feet of material that span 6 decades, including audio, film, photographic media, and paper documents",Sharing Inuit Voices Across Time: Inuit Circumpolar Council Alaska’s Web and Digital Archive,https://blog.archive.org/2022/04/,101
57,digiti,"  The books will be preserved, digitized and lent (for free to one user at a time) over the Internet",Ukrainian Book Drive: Please Contribute,https://blog.archive.org/2022/03/,109
58,digiti, The Internet Archive is prioritizing the digitization and hosting of relevant materials for Ukrainians,Ukrainian Book Drive: Please Contribute,https://blog.archive.org/2022/03/,109
59,digiti," Already the University of Toronto and University of Alberta has sponsored the digitization of sizable Ukrainian collections, where the total collections on archive",Ukrainian Book Drive: Please Contribute,https://blog.archive.org/2022/03/,109
60,scan,  Among these items that have been recovered are documents that are being given to the Internet Archive to scan and place online – instructions on how to operate a Compuserve service,Mission Impossible: The Compuserve Chapter,https://blog.archive.org/2022/03/,110
61,digiti, “A tremendous amount of effort and energy has gone into the development of these websites and digitized collections,Volunteers Rally to Archive Ukrainian Web Sites,https://blog.archive.org/2022/03/,112
62,digiti,"  Microfiche cards, which contain miniaturized thumbnails of the publication’s pages, are starting to be digitized and matched to catalog records by the Internet Archive",New Project Will Unlock Access to Government Publications on Microfiche,https://blog.archive.org/2022/03/,115
63,scan," Sample microfiche card Seventy million pages on over one million microfiche cards have been contributed for scanning from Claremont Colleges, Evergreen State College, University of Alberta, University of California San Francisco, and the University of South Carolina",New Project Will Unlock Access to Government Publications on Microfiche,https://blog.archive.org/2022/03/,115
64,digiti, “That was one of the main reasons I was excited to have this content digitized,New Project Will Unlock Access to Government Publications on Microfiche,https://blog.archive.org/2022/03/,115
65,digiti,"”  Once all the documents are digitized, access will be greatly enhanced, and it will allow people to do broader machine analysis of digital content to track larger trends across years of technical reports or agency activity, Jacobs said",New Project Will Unlock Access to Government Publications on Microfiche,https://blog.archive.org/2022/03/,115
66,digiti, Many members of the public are not aware of the material available on microfiche so the potential for finding and using them is heightened once these documents are digitized,New Project Will Unlock Access to Government Publications on Microfiche,https://blog.archive.org/2022/03/,115
67,digiti," With this expanded access to the workings of government, Jacobs said that digitizing microfiche is helping promote the open sharing of knowledge: “You have to have an informed citizenry in order to have a democracy",New Project Will Unlock Access to Government Publications on Microfiche,https://blog.archive.org/2022/03/,115
68,digiti,"From web archives to television news to digitized books & periodicals, dozens of projects rely on the collections available at archive",Library as Laboratory: A New Series Exploring the Computational Use of Internet Archive Collections,https://blog.archive.org/2022/02/,121
69,digiti, The unstructured textual data generated at the point of digitization holds immense untapped potential,Library as Laboratory: A New Series Exploring the Computational Use of Internet Archive Collections,https://blog.archive.org/2022/02/,121
70,scan," Watch the session recording:  Talks include: Forgotten Histories of the Mid-Century Coding Bootcamp, [watch] Kate Miltner (University of Edinburgh)Japan As They Saw It, [watch] Tom Gally (University of Tokyo)The Bibliography of Life, [watch] Rod Page (University of Glasgow)Q&A #1 [watch]More Than Words: Fed Chairs’ Communication During Congressional Testimonies, [watch] Michelle Alexopoulos (University of Toronto)WARC Collection Summarization, [watch] Sawood Alam (Internet Archive)Automatic scanning with an Internet Archive TT scanner, [watch] Art Rhyno (University of Windsor)Q&A #2 [watch]Automated Hashtag Hierarchy Generation Using Community Detection and the Shannon Diversity Index, [watch] Spencer Torene (Thomson Reuters Special Services, LLC)My Internet Archive Enabled Journey As A Digital Humanities Citizen Scientist, [watch] Jim SalmonsWeb and cities: (early internet) geographies through the lenses of the Internet Archive, [watch] Emmanouil Tranos (University of Bristol)Forgotten Novels of the 19th Century, [watch] Tom Gally (University of Tokyo)Q&A #3 [watch]",Library as Laboratory: A New Series Exploring the Computational Use of Internet Archive Collections,https://blog.archive.org/2022/02/,121
71,digiti, [tweet] The Internet Archive has increased periodical digitization of purchased and donated print and microfilm resources to enhance our services for our patrons with print disabilities,Scanning periodicals for patrons with print disabilities,https://blog.archive.org/2022/01/,126
72,digiti," The modern library materials that we digitize are first made available to qualified patrons, including affiliated users from the National Library Service, Bookshare, and ACE Portal",Scanning periodicals for patrons with print disabilities,https://blog.archive.org/2022/01/,126
73,digiti, It turns out many works of New Zealand history have been digitised by the Internet Archive from US collections” Callum H,International patrons speak out: “Access to knowledge shouldn’t be for the rich and privileged.”,https://blog.archive.org/2022/01/,127
74,digiti,", Educator, Brazil – “I spent months of 2020 bed-ridden, and was able to view items from your digitized collection",International patrons speak out: “Access to knowledge shouldn’t be for the rich and privileged.”,https://blog.archive.org/2022/01/,127
75,digiti," There are no other means for me, in my part of South America, to have access to limited-circulation ancient newspapers of other continents without digitizing and digital libraries",International patrons speak out: “Access to knowledge shouldn’t be for the rich and privileged.”,https://blog.archive.org/2022/01/,127
76,scan,"Thursday, February 24th, from 4:00pm to 5:00pm ESTRegister Keeping Your Personal Data Personal: How Decentralized Identity Drives Data PrivacyWant your FedEx package? Now you must allow the company to scan your ID",Imagining a Better Online World: Exploring the Decentralized Web,https://blog.archive.org/2022/01/,128
77,digiti," You can peruse about 38,000 of them in our collection of digitized 78rpm records",Welcoming Recorded Music to the Public Domain,https://blog.archive.org/2022/01/,130
78,digiti," The video that captivated the internet  In February, we shared a video on social media showing how we digitize a book, and it quickly went viral",2021 Empowering Libraries Year in Review,https://blog.archive.org/2021/12/,133
79,digiti," Donations The Internet Archive has continued its donations program, receiving media that libraries can no longer house for preservation and digitization",2021 Empowering Libraries Year in Review,https://blog.archive.org/2021/12/,133
80,digiti," That was the case with Hamilton Public Library in Ontario, which donated a fantastic collection of American and British theater books for preservation and digitization",2021 Empowering Libraries Year in Review,https://blog.archive.org/2021/12/,133
81,digiti," Schonfeld for a discussion of the history of library digitization described in their book, Along Came Google",2021 Empowering Libraries Year in Review,https://blog.archive.org/2021/12/,133
82,digiti," Northeastern had inquired about digitizing the collection, but it was cost prohibitive",Boston Phoenix Rises Again With New Online Access,https://blog.archive.org/2021/12/,136
83,digiti," Once Northeastern learned about the digitized collection, it extended rights to the Archive to allow the Phoenix to be downloaded without controls",Boston Phoenix Rises Again With New Online Access,https://blog.archive.org/2021/12/,136
84,digiti," “It’s a dream come true,” said Carioli of the Internet Archive’s digitization of the newspaper",Boston Phoenix Rises Again With New Online Access,https://blog.archive.org/2021/12/,136
85,digiti," She often links her findings to the Biodiversity Heritage Library, a worldwide consortium of natural history, botanical, research, and national libraries working together to digitize the natural history literature held in their collections and make it freely available online",The Wikimedian On a Mission to Connect Everything,https://blog.archive.org/2021/12/,139
86,scan," The Internet Archive partners with BHL and its member libraries by providing digitization, storage and access for scanned books",The Wikimedian On a Mission to Connect Everything,https://blog.archive.org/2021/12/,139
87,digiti," Once digitized, the books would have been accessible to anyone through Controlled Digital Lending, and could have been linked to Wikipedia",The Wikimedian On a Mission to Connect Everything,https://blog.archive.org/2021/12/,139
88,digiti," In Leachman’s view, the donation and digitization of these books would greatly improve access to the knowledge held within these publications for the benefit of all—not just New Zealanders, but for the world",The Wikimedian On a Mission to Connect Everything,https://blog.archive.org/2021/12/,139
89,digiti," A first set of the 78s is now online, and the remaining collection is queued for digitization",Passing on a Musical Love Letter to the Next Generation,https://blog.archive.org/2021/11/,142
90,digiti," His son, Mark Smith, recently retired as director and state librarian at the Texas State Library and Archives Commission, suggested the Internet Archive could digitize the items and provide a permanent home",Passing on a Musical Love Letter to the Next Generation,https://blog.archive.org/2021/11/,142
91,digiti, Mark says he’s pleased to have his father’s collection featured alongside other digitized items available to the public,Passing on a Musical Love Letter to the Next Generation,https://blog.archive.org/2021/11/,142
92,digiti," At a time when students and teachers may be encountering limited access to content in their local community, the Internet Archive acquires and digitizes material for its online library, and lends a wide array of books for free to anyone, anytime","As Calls to Ban Books Intensify, Digital Librarians Offer Perspective",https://blog.archive.org/2021/11/,143
93,digiti," Fortunately, others had a vision for the potential of digitizing the world’s knowledge",Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
94,digiti,"  Advocates of mass digitization discussed the tremendous impact that open access to creative works online has had on society, the challenges ahead, and potential, if more books are unleashed",Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
95,digiti,  “There are tens of millions of digitized books available on the internet now,Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
96,digiti," “I think we should ask more questions: What aren’t we digitizing? What are the economic or political forces that are constraining our choices and what corrective measures can we take?”Mike Furlough, executive director, HathiTrust Internet Archive Founder Brewster Kahle said Reddy was right that bringing our full history online for the next generation is important, but it’s not been easy technically or institutionally",Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
97,scan," There was also a push among panelists for digitization to be more inclusive of works from all kinds of authors, recognizing what is being scanned is what’s already been obtained by libraries",Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
98,digiti, “I think we should ask more questions: What aren’t we digitizing? What are the economic or political forces that are constraining our choices and what corrective measures can we take?” Furlough said,Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
99,digiti," The future interaction with knowledge involves the digitization of books and expanding the diversity of voices is critical, said Moriel Schottlender, principal system architect with the Wikimedia Foundation",Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
100,digiti," But not everyone has equal access to knowledge, to books, to journals, to libraries, to educational materials…We use digitization to increase equity",Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
101,digiti, But not everyone has equal access to knowledge…We use digitization to increase equity,Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
102,digiti," Donors want items digitized for a variety of reasons including to protect rare items, to reach a broader audience, and to free up physical space for other materials",Looking Back at the Million Book Project,https://blog.archive.org/2021/11/,145
103,digiti," Watch now   October 20Session II: Community ImpactHear firsthand from educators & librarians about the value of digitized library collections for the patrons, students, and communities they serve",2021 Library Leaders Forum Recap,https://blog.archive.org/2021/11/,147
104,digiti," In 1996, I thought: Why don’t we just build this thing? I mean, how hard could it be? Sure, maybe we’re going to have to go and digitize a whole library, but that couldn’t be that hard, right? And so, a group of us said, let’s do this","Turns Out It’s Not the Technology, It’s the People",https://blog.archive.org/2021/10/,148
105,scan," Ultimately could we make the world smarter? Could we make people smarter by being better connected? Not just because they could read what other people were writing, but because machines would help filter information, scan vast amounts of knowledge, emphasize what is most important, provide context to the deluge","Turns Out It’s Not the Technology, It’s the People",https://blog.archive.org/2021/10/,148
106,digiti, Over 1000 libraries have contributed books to be digitized into the collections—now 5 million volumes strong,"Turns Out It’s Not the Technology, It’s the People",https://blog.archive.org/2021/10/,148
107,digiti,"”Kanta Kapoor, 2021 Internet Archive Hero Award recipient In her newly created position, she helped improve services for patrons and library staff alike with new technology, mobile apps and digitization of materials",Celebrating Kanta Kapoor: 2021 Internet Archive Hero Award Recipient,https://blog.archive.org/2021/10/,150
108,digiti," When she was introduced to the Open Libraries program, Kapoor said she was impressed by the ability to provide millions of digitized books to users across the world",Celebrating Kanta Kapoor: 2021 Internet Archive Hero Award Recipient,https://blog.archive.org/2021/10/,150
109,digiti," “It meant we were able to provide our patrons with access to tens of thousands of digitized materials at a time when they were more welcome than ever, during the pandemic lockdowns, while also being able to donate over 40,000 items for the benefit of a truly global audience,” he said",Celebrating Kanta Kapoor: 2021 Internet Archive Hero Award Recipient,https://blog.archive.org/2021/10/,150
110,scan,"” Milton Public Library, Milton, Ontario MPL expanded its partnership by donating physical items to the Archive, obtained a state-of-the-art digitization scanner, and became involved with Library Futures, a coalition of libraries and other stakeholders championing equitable access to knowledge",Celebrating Kanta Kapoor: 2021 Internet Archive Hero Award Recipient,https://blog.archive.org/2021/10/,150
111,digiti," To serve the changing needs of users, she has embraced digitizing collections and innovative outreach",Celebrating Lisa Radha Weaver: 2021 Internet Archive Hero Award Recipient,https://blog.archive.org/2021/10/,151
112,digiti,"  Weaver led efforts at HPL to become an early adopter of Controlled Digital Lending, as well as identify special collections to donate to the Internet Archives for digitization",Celebrating Lisa Radha Weaver: 2021 Internet Archive Hero Award Recipient,https://blog.archive.org/2021/10/,151
113,digiti,"3 billion citations extracted from over 60 million metadata records and over 120 million scholarly artifacts (articles, books, datasets, proceedings, code, etc) that IA Scholar has archived through web harvesting, digitization, integrations with other open knowledge services, and through partnerships and joint initiatives","Internet Archive Releases Refcat, the IA Scholar Index of over 1.3 Billion Scholarly Citations",https://blog.archive.org/2021/10/,154
114,digiti," The program achieves this mission by providing its members with free access to the Archive-It web archiving service, digital preservation and digitization services, and technical support and training in topics such as web archiving, community outreach, and digital preservation","The Internet Archive’s Community Webs Program Welcomes 60+ New Members from the US, Canada and Internationally",https://blog.archive.org/2021/10/,155
115,digiti," Of course no one knew it at the time, but that early move helped their patrons stay connected to resources throughout library closures of 2020 and 2021 by already having tens of thousands of digitized books available through each library’s participation in the Internet Archive’s Open Libraries program",Librarians Kanta Kapoor and Lisa Radha Weaver to Receive 2021 Internet Archive Hero Award,https://blog.archive.org/2021/10/,156
116,digiti,"They donated collections to the Internet Archive that no longer fit their library’s local collection development priorities, so that we could preserve and digitize the books, and make them available to digital learners everywhere",Librarians Kanta Kapoor and Lisa Radha Weaver to Receive 2021 Internet Archive Hero Award,https://blog.archive.org/2021/10/,156
117,digiti," Hear firsthand from educators & librarians about the value of digitized library collections for the patrons, students, and communities they serve",Library Leaders Forum 2021: Digital Ownership & the Future of Library Collections,https://blog.archive.org/2021/09/,160
118,digiti," When the Internet Archive digitized older issues of “Jump Cut” from microfilm, we found that it had already been posted, in textual form, by the publisher",“Jump Cut” is a Model Open Journal: Digitized from Microfilm & Hosted on Archive.org,https://blog.archive.org/2021/09/,163
119,scan," Selection of covers from Jump Cut, now online from scanned microfilm at archive",“Jump Cut” is a Model Open Journal: Digitized from Microfilm & Hosted on Archive.org,https://blog.archive.org/2021/09/,163
120,scan," Recently, as part of a microfilm digitizing effort, the Archive scanned images, photos and text from all 59 issues of Jump Cut and made them available in a collection",“Jump Cut” is a Model Open Journal: Digitized from Microfilm & Hosted on Archive.org,https://blog.archive.org/2021/09/,163
121,digiti,"” In addition to the journals, Kleinhans and Lesage have had syllabi and lecture notes from a variety of film and media courses they taught digitized and added to the Internet Archive collection",“Jump Cut” is a Model Open Journal: Digitized from Microfilm & Hosted on Archive.org,https://blog.archive.org/2021/09/,163
122,digiti,"   “People’s time is limited and having access to this material facilitates scholarship,” Cohen said of the benefits of digitized documents",Access to Rare Historical Materials Makes an Ocean of Difference for Stanford Professor,https://blog.archive.org/2021/09/,165
123,digiti,"              Contact: Emily Balk, GBH External Communications Manager – 617-300-5317UCLA Library’s NewsScape TV News Archive contains digitized television news programs collected from cable and broadcast sources in the Los Angeles area from 2005 to the present, as well as a smaller number of news programs from other domestic, international, and online sources collected from 2004 to the present",Reflecting on 9/11: Twenty Years of Archived TV News – Special Event and Resources,https://blog.archive.org/2021/08/,169
124,digiti,"When Marygrove College closed, they donated the entire library to the Internet Archive for preservation & digitization",Internet Archive Can Provide a New Home for your Beloved Books & Media: Details on Making a Physical Donation,https://blog.archive.org/2021/08/,172
125,digiti," Then, as funding allows, the Archive digitizes the materials and helps them reach a wider audience online",Internet Archive Can Provide a New Home for your Beloved Books & Media: Details on Making a Physical Donation,https://blog.archive.org/2021/08/,172
126,digiti," Better World Books, a socially responsible bookstore that has a longstanding relationship with the Internet Archive, regularly donates books for preservation and digitization",Internet Archive Can Provide a New Home for your Beloved Books & Media: Details on Making a Physical Donation,https://blog.archive.org/2021/08/,172
