,name,year,books_scanned
91,British Library,2016,40466
92,British Library,2017,40468
93,British Library,2018,42375
94,British Library,2019,25441
95,British Library,2020,7842
96,British Library,2021,7543
97,British Library,2022,11652
98,British Library,2023,2262
100,Brown University,2010,1778
101,Brown University,2011,1891
102,Brown University,2012,692
103,Brown University,2013,1995
104,Brown University,2014,1492
105,Brown University,2015,881
106,Brown University,2016,785
107,Brown University,2017,2948
108,Brown University,2018,2002
109,Brown University,2019,2953
110,Brown University,2020,1062
111,Brown University,2021,261
112,Brown University,2022,631
113,Brown University,2023,328
115,California Acaddemy of Sciences,2015,4
116,California Acaddemy of Sciences,2016,1041
117,California Acaddemy of Sciences,2018,3
119,California State Library,2011,195
120,California State Library,2012,588
121,California State Library,2013,346
122,California State Library,2014,542
123,California State Library,2015,221
125,"Centre for Strategic and International Studies, Jakarta",2014,413
126,"Centre for Strategic and International Studies, Jakarta",2015,79
127,Church History Library,2009,301
128,Church History Library,2010,316
129,Church History Library,2011,2990
130,Church History Library,2012,8905
131,Church History Library,2013,252
133,Clatsop County Historical Society,2019,215
134,Clatsop County Historical Society,2020,334
135,Clatsop County Historical Society,2021,771
136,Clatsop County Historical Society,2022,491
137,Clatsop County Historical Society,2023,358
139,Clemson University,2012,4007
140,Clemson University,2013,3383
141,Clemson University,2014,2884
143,Columbia University,2002,17
144,Columbia University,2007,6826
145,Columbia University,2008,24932
146,Columbia University,2009,12734
147,Columbia University,2010,14248
148,Columbia University,2011,4086
150,Datum Data Co. Ltd.,2009,7
151,Datum Data Co. Ltd.,2010,5711
152,Datum Data Co. Ltd.,2011,130457
153,Datum Data Co. Ltd.,2012,188766
154,Datum Data Co. Ltd.,2013,20567
155,Datum Data Co. Ltd.,2014,23726
156,Datum Data Co. Ltd.,2015,27009
157,Datum Data Co. Ltd.,2016,5615
158,Datum Data Co. Ltd.,2017,9
159,Datum Data Co. Ltd.,2019,17518
160,Datum Data Co. Ltd.,2020,24193
161,Datum Data Co. Ltd.,2021,15453
162,Datum Data Co. Ltd.,2022,22393
163,Datum Data Co. Ltd.,2023,1037
165,Duke University,2008,2
166,Duke University,2009,2
167,Duke University,2010,1835
168,Duke University,2011,3038
169,Duke University,2012,1460
170,Duke University,2013,3085
171,Duke University,2014,3365
172,Duke University,2015,1637
173,Duke University,2016,1380
174,Duke University,2017,1395
175,Duke University,2018,1092
176,Duke University,2019,570
177,Duke University,2020,310
178,Duke University,2021,1030
179,Duke University,2022,1297
180,Duke University,2023,289
182,Family Search Library,2016,183
183,Family Search Library,2017,176
184,Family Search Library,2018,258
185,Family Search Library,2019,150
186,Family Search Library,2020,8
187,Family Search Library,2021,28
188,Georgetown University,2015,1
189,Georgetown University,2016,14
190,Georgetown University,2017,4
191,Georgetown University,2018,15
192,Georgetown University,2019,87
193,Georgetown University,2020,3
194,Georgetown University,2021,12
195,Georgetown University,2022,54
196,Georgetown University,2023,19
198,Getty Research Institute,2016,173
199,Getty Research Institute,2017,1
200,Getty Research Institute,2019,18
201,Getty Research Institute,2020,2
203,Getty Research Institute Valencia Warehouse,2013,1298
204,Getty Research Institute Valencia Warehouse,2014,3399
205,Getty Research Institute Valencia Warehouse,2015,4481
206,Getty Research Institute Valencia Warehouse,2016,6021
207,Getty Research Institute Valencia Warehouse,2017,2177
208,Getty Research Institute Valencia Warehouse,2018,2112
209,Getty Research Institute Valencia Warehouse,2019,2814
210,Getty Research Institute Valencia Warehouse,2020,411
211,Getty Research Institute Valencia Warehouse,2021,179
212,Getty Research Institute Valencia Warehouse,2022,981
213,Getty Research Institute Valencia Warehouse,2023,466
215,Hamilton Public Library,2023,200
217,Harvard,2015,26
218,Harvard,2016,130
219,Harvard,2017,242
220,Harvard,2018,319
221,Harvard,2019,25
222,Harvard,2020,9
223,Harvard,2021,20
224,Harvard,2022,111
225,Harvard,2023,61
227,Hong Kong,2009,4
228,Hong Kong,2010,3
229,Hong Kong,2011,6
230,Hong Kong,2012,12
231,Hong Kong,2013,352
232,Hong Kong,2014,3
233,Hong Kong,2015,10
234,Hong Kong,2016,21525
235,Hong Kong,2017,91827
236,Hong Kong,2018,172892
237,Hong Kong,2019,6928
239,Hopewell Junction,2013,2
240,Hopewell Junction,2014,22
241,"Innodata Knowledge Services, Inc.",2018,15814
242,"Innodata Knowledge Services, Inc.",2019,346764
243,"Innodata Knowledge Services, Inc.",2020,736827
244,"Innodata Knowledge Services, Inc.",2021,895739
245,"Innodata Knowledge Services, Inc.",2022,929630
246,"Innodata Knowledge Services, Inc.",2023,348162
249,Internet Archive Headquarters,2006,29
250,Internet Archive Headquarters,2007,17
251,Internet Archive Headquarters,2008,110
252,Internet Archive Headquarters,2009,8237
253,Internet Archive Headquarters,2010,59150
254,Internet Archive Headquarters,2011,24
255,Internet Archive Headquarters,2012,5
256,Internet Archive Headquarters,2015,15
257,Internet Archive Headquarters,2017,1
259,Internet Archive Sheridan Headquarters,2007,23
260,Internet Archive Sheridan Headquarters,2008,629
261,Internet Archive Sheridan Headquarters,2009,1466
262,Internet Archive Sheridan Headquarters,2017,3
263,Internet Archive Sheridan Headquarters,2018,13
264,Internet Archive Sheridan Headquarters,2019,9
265,Internet Archive Sheridan Headquarters,2020,14
266,Internet Archive Sheridan Headquarters,2021,18
267,Internet Archive Sheridan Headquarters,2022,70
268,Internet Archive Sheridan Headquarters,2023,30
270,Internt Archive Physical Archive,2006,25902
271,Internt Archive Physical Archive,2007,45076
272,Internt Archive Physical Archive,2008,30186
273,Internt Archive Physical Archive,2009,12978
274,Internt Archive Physical Archive,2010,2
275,Internt Archive Physical Archive,2011,1
276,Internt Archive Physical Archive,2012,680
277,Internt Archive Physical Archive,2013,64
278,Internt Archive Physical Archive,2014,851
279,Internt Archive Physical Archive,2015,54
280,Internt Archive Physical Archive,2016,146
281,Internt Archive Physical Archive,2017,4
283,John Hopkins University Library Offsite Storage,2020,337
284,John Hopkins University Library Offsite Storage,2021,2105
285,John Hopkins University Library Offsite Storage,2022,1744
286,John Hopkins University Library Offsite Storage,2023,763
288,Library of Congress,2002,4
289,Library of Congress,2007,214
290,Library of Congress,2008,24648
291,Library of Congress,2009,41088
292,Library of Congress,2010,24776
293,Library of Congress,2011,29405
294,Library of Congress,2012,31816
295,Library of Congress,2013,15548
296,Library of Congress,2014,12176
297,Library of Congress,2015,7939
298,Library of Congress,2016,6278
299,Library of Congress,2017,6031
300,Library of Congress,2018,4786
301,Library of Congress,2019,5502
302,Library of Congress,2020,1557
304,Missouri Botanical Garden,2006,1
305,National Agricultural Library,2012,104
306,National Agricultural Library,2013,31034
307,National Agricultural Library,2014,32456
308,National Agricultural Library,2015,28779
309,National Agricultural Library,2016,23116
310,National Agricultural Library,2017,30034
311,National Agricultural Library,2018,16654
312,National Agricultural Library,2019,12140
313,National Agricultural Library,2020,10791
314,National Agricultural Library,2021,12646
315,National Agricultural Library,2022,13584
316,National Agricultural Library,2023,5635
318,National Library of Scotland,2008,840
319,National Library of Scotland,2009,1501
320,National Library of Scotland,2010,697
321,National Library of Scotland,2011,831
322,National Library of Scotland,2012,690
323,National Library of Scotland,2013,300
324,National Library of Scotland,2014,40
326,"Natural History Museum Library, London",2002,1
327,"Natural History Museum Library, London",2007,899
328,"Natural History Museum Library, London",2008,1510
329,"Natural History Museum Library, London",2009,1414
330,"Natural History Museum Library, London",2010,784
331,"Natural History Museum Library, London",2011,465
332,"Natural History Museum Library, London",2012,282
333,"Natural History Museum Library, London",2013,521
334,"Natural History Museum Library, London",2014,788
335,"Natural History Museum Library, London",2015,977
336,"Natural History Museum Library, London",2016,1033
337,"Natural History Museum Library, London",2017,413
338,"Natural History Museum Library, London",2018,706
339,"Natural History Museum Library, London",2019,579
340,"Natural History Museum Library, London",2020,272
341,"Natural History Museum Library, London",2022,106
343,New York Botanical Garden,2016,1
344,New York Botanical Garden,2017,35
345,New York Botanical Garden,2018,1
346,New York Botanical Garden,2020,1
347,North Carolina State University,2008,835
348,North Carolina State University,2009,1809
349,North Carolina State University,2010,553
351,Oberlin College Libraries,2015,52
352,Oberlin College Libraries,2016,671
353,Oberlin College Libraries,2017,98
354,Oberlin College Libraries,2018,73
355,Oberlin College Libraries,2019,574
356,Oberlin College Libraries,2020,150
357,Oberlin College Libraries,2021,63
358,Oberlin College Libraries,2022,21
359,Oberlin College Libraries,2023,51
362,Peabody Essex Museum,2019,6
364,Perkins School for the Blind,2015,8
365,Perkins School for the Blind,2016,17
366,Perkins School for the Blind,2017,34
367,Perkins School for the Blind,2018,10
368,Perkins School for the Blind,2019,12
369,Perpustakaan Provinsi Bali,2012,560
371,Princeton University,2002,403
372,Princeton University,2008,9364
373,Princeton University,2009,8389
374,Princeton University,2010,10923
375,Princeton University,2011,17362
376,Princeton University,2012,22822
377,Princeton University,2013,18611
378,Princeton University,2014,21489
379,Princeton University,2015,26231
380,Princeton University,2016,15152
381,Princeton University,2017,10932
382,Princeton University,2018,12434
383,Princeton University,2019,5137
384,Princeton University,2020,2536
385,Princeton University,2021,2546
386,Princeton University,2022,5142
387,Princeton University,2023,2852
390,Research Institute of Korean Studies,2016,3
391,Research Institute of Korean Studies,2018,4
392,San Francisco Public Library,2011,355
393,San Francisco Public Library,2012,1851
394,San Francisco Public Library,2013,2190
395,San Francisco Public Library,2014,2647
396,San Francisco Public Library,2015,1721
397,San Francisco Public Library,2016,1987
398,San Francisco Public Library,2017,520
400,Servants of knowledge,2019,800
402,Smithsonian Libraries and Archives,2007,188
403,Smithsonian Libraries and Archives,2008,515
404,Smithsonian Libraries and Archives,2009,1723
405,Smithsonian Libraries and Archives,2010,858
406,Smithsonian Libraries and Archives,2011,665
407,Smithsonian Libraries and Archives,2012,2025
408,Smithsonian Libraries and Archives,2013,1618
409,Smithsonian Libraries and Archives,2014,1594
410,Smithsonian Libraries and Archives,2015,1494
411,Smithsonian Libraries and Archives,2016,1803
412,Smithsonian Libraries and Archives,2017,1668
413,Smithsonian Libraries and Archives,2018,1232
414,Smithsonian Libraries and Archives,2019,893
415,Smithsonian Libraries and Archives,2020,187
416,Smithsonian Libraries and Archives,2022,11
417,Smithsonian Libraries and Archives,2023,188
419,Stanford University,2019,6
420,Stanford University,2022,32
422,State Library of Pennsylvania,2013,46
423,State Library of Pennsylvania,2014,1154
424,State Library of Pennsylvania,2015,2407
425,State Library of Pennsylvania,2016,3533
426,State Library of Pennsylvania,2017,6780
427,State Library of Pennsylvania,2018,5622
428,State Library of Pennsylvania,2019,2132
429,State Library of Pennsylvania,2020,422
430,State Library of Pennsylvania,2021,34
431,State Library of Pennsylvania,2022,74
432,State Library of Pennsylvania,2023,2
434,Staten Island Museum,2021,14
435,Staten Island Museum,2022,57
436,Staten Island Museum,2023,74
438,The Archive of Contemporary Music,2011,633
439,The Archive of Contemporary Music,2012,1160
440,The Archive of Contemporary Music,2013,403
441,The Archive of Contemporary Music,2014,147
442,The Archive of Contemporary Music,2015,106
443,The Archive of Contemporary Music,2016,409
444,The Archive of Contemporary Music,2017,134
446,The Ohio State University,2016,10
447,The Ohio State University,2017,58
448,The Ohio State University,2018,95
449,The Ohio State University,2019,32
450,The Ohio State University,2020,44
451,The Ohio State University,2021,413
452,The Ohio State University,2022,163
453,The Ohio State University,2023,9
455,The Servants of Knowledge,2019,853
456,The Servants of Knowledge,2020,1403
457,The Servants of Knowledge,2021,5110
458,The Servants of Knowledge,2022,4590
459,The Servants of Knowledge,2023,2359
462,UCLA,2006,11495
463,UCLA,2007,41964
464,UCLA,2008,42019
465,UCLA,2009,24092
466,UCLA,2010,19455
467,UCLA,2011,1415
468,UCLA,2012,926
469,UCLA,2013,683
470,UCLA,2014,1922
471,UCLA,2015,1697
472,UCLA,2016,1909
473,UCLA,2017,3238
474,UCLA,2018,3138
475,UCLA,2019,1760
476,UCLA,2020,376
477,UCLA,2021,220
478,UCLA,2022,905
479,UCLA,2023,522
481,UIUC,2001,3
482,UIUC,2007,4597
483,UIUC,2008,6139
484,UIUC,2009,6792
485,UIUC,2010,4143
486,UIUC,2011,3999
487,UIUC,2012,9990
488,UIUC,2013,12824
489,UIUC,2014,4817
490,UIUC,2015,3903
491,UIUC,2016,6131
492,UIUC,2017,11732
493,UIUC,2018,6926
494,UIUC,2019,6714
495,UIUC,2020,2325
496,UIUC,2021,2743
497,UIUC,2022,4625
498,UIUC,2023,2251
500,UNC Chapel Hill,2007,21
501,UNC Chapel Hill,2008,2280
502,UNC Chapel Hill,2009,3103
503,UNC Chapel Hill,2010,3624
504,UNC Chapel Hill,2011,6689
505,UNC Chapel Hill,2012,9376
506,UNC Chapel Hill,2013,6692
507,UNC Chapel Hill,2014,7771
508,UNC Chapel Hill,2015,2473
509,UNC Chapel Hill,2017,2
510,UNC Chapel Hill,2018,2554
511,UNC Chapel Hill,2019,4164
512,UNC Chapel Hill,2020,2376
513,UNC Chapel Hill,2021,2702
514,UNC Chapel Hill,2022,2339
515,UNC Chapel Hill,2023,2783
517,Universidad Francisco Marroquín,2008,26
518,Universidad Francisco Marroquín,2009,286
519,Universidad Francisco Marroquín,2010,64
520,Universidad Francisco Marroquín,2011,376
521,Universidad Francisco Marroquín,2012,123
522,Universidad Francisco Marroquín,2013,503
523,Universidad Francisco Marroquín,2014,181
524,Universidad Francisco Marroquín,2015,466
525,Universidad Francisco Marroquín,2016,226
526,Universidad Francisco Marroquín,2017,152
527,Universidad Francisco Marroquín,2018,435
528,Universidad Francisco Marroquín,2019,51
529,Universidad Francisco Marroquín,2020,126
530,Universidad Francisco Marroquín,2021,263
531,Universidad Francisco Marroquín,2022,541
532,Universidad Francisco Marroquín,2023,222
534,University of Alberta,2008,1465
535,University of Alberta,2009,19852
536,University of Alberta,2010,12512
537,University of Alberta,2011,12372
538,University of Alberta,2012,19607
539,University of Alberta,2013,11361
540,University of Alberta,2014,1517
541,University of Alberta,2015,4444
542,University of Alberta,2016,6800
543,University of Alberta,2017,5802
544,University of Alberta,2018,3189
545,University of Alberta,2019,6893
546,University of Alberta,2020,2958
547,University of Alberta,2021,1929
548,University of Alberta,2022,5987
549,University of Alberta,2023,4392
551,University of Chinese Academy of Sciences,2010,379
552,University of Chinese Academy of Sciences,2011,891
553,University of Chinese Academy of Sciences,2012,1
554,University of Chinese Academy of Sciences,2014,1
557,University of Florida,2015,910
558,University of Florida,2016,5735
559,University of Florida,2017,625
560,University of Florida,2018,919
561,University of Florida,2019,99
563,"University of Maryland, College Park",2007,164
564,"University of Maryland, College Park",2008,2223
565,"University of Maryland, College Park",2009,64
567,University of Pretoria,2014,55
568,University of Pretoria,2015,202
569,University of Pretoria,2016,1631
570,University of Pretoria,2017,494
571,University of Pretoria,2018,9
572,University of Pretoria,2019,4
574,University of Toronto,2002,1
575,University of Toronto,2006,25753
576,University of Toronto,2007,55018
577,University of Toronto,2008,74589
578,University of Toronto,2009,56225
579,University of Toronto,2010,60408
580,University of Toronto,2011,38712
581,University of Toronto,2012,16109
582,University of Toronto,2013,23435
583,University of Toronto,2014,22757
584,University of Toronto,2015,11242
585,University of Toronto,2016,7875
586,University of Toronto,2017,5612
587,University of Toronto,2018,11079
588,University of Toronto,2019,6540
589,University of Toronto,2020,2732
590,University of Toronto,2021,1787
591,University of Toronto,2022,24247
592,University of Toronto,2023,12671
594,University of Victoria,2015,559
595,University of Victoria,2016,1661
596,University of Victoria,2017,1280
597,University of Victoria,2018,526
598,University of Victoria,2019,977
599,University of Victoria,2020,279
600,University of Victoria,2021,1390
601,University of Victoria,2022,69
602,University of Victoria,2023,101
604,University of Warwick,2016,9
605,University of Warwick,2017,20
606,University of Warwick,2018,521
607,University of Warwick,2019,103
608,University of Warwick,2023,61
610,Washington University in St. Louis,2015,1619
611,Washington University in St. Louis,2016,3625
612,Washington University in St. Louis,2017,3614
613,Washington University in St. Louis,2018,2710
614,Washington University in St. Louis,2019,1675
615,Washington University in St. Louis,2020,2474
616,Washington University in St. Louis,2021,299
617,Washington University in St. Louis,2022,1243
618,Washington University in St. Louis,2023,841
620,Yiddish Book Center,2011,80
621,Yiddish Book Center,2012,672
622,Yiddish Book Center,2013,344
624,Zhejiang University,2011,1
