,name,year,books_scanned
129,Columbia University,2008,24932
130,Columbia University,2009,12734
131,Columbia University,2010,14248
132,Columbia University,2011,4086
133,Datum Data Co. Ltd.,2009,7
134,Datum Data Co. Ltd.,2010,5711
135,Datum Data Co. Ltd.,2011,130457
136,Datum Data Co. Ltd.,2012,188766
137,Datum Data Co. Ltd.,2013,20567
138,Datum Data Co. Ltd.,2014,23726
139,Datum Data Co. Ltd.,2015,27009
140,Datum Data Co. Ltd.,2016,5615
141,Datum Data Co. Ltd.,2017,9
142,Datum Data Co. Ltd.,2019,17518
143,Datum Data Co. Ltd.,2020,24193
144,Datum Data Co. Ltd.,2021,15453
145,Datum Data Co. Ltd.,2022,22393
146,Datum Data Co. Ltd.,2023,1037
147,Duke University,2008,2
148,Duke University,2009,2
149,Duke University,2010,1835
150,Duke University,2011,3038
151,Duke University,2012,1460
152,Duke University,2013,3085
153,Duke University,2014,3365
154,Duke University,2015,1637
155,Duke University,2016,1380
156,Duke University,2017,1395
157,Duke University,2018,1092
158,Duke University,2019,570
159,Duke University,2020,310
160,Duke University,2021,1030
161,Duke University,2022,1297
162,Duke University,2023,289
163,Family Search Library,2016,183
164,Family Search Library,2017,176
165,Family Search Library,2018,258
166,Family Search Library,2019,150
167,Family Search Library,2020,8
168,Family Search Library,2021,28
169,Georgetown University,2015,1
170,Georgetown University,2016,14
171,Georgetown University,2017,4
172,Georgetown University,2018,15
173,Georgetown University,2019,87
174,Georgetown University,2020,3
175,Georgetown University,2021,12
176,Georgetown University,2022,54
177,Georgetown University,2023,19
178,Getty Research Institute,2016,173
179,Getty Research Institute,2017,1
180,Getty Research Institute,2019,18
181,Getty Research Institute,2020,2
182,Getty Research Institute Valencia Warehouse,2013,1298
183,Getty Research Institute Valencia Warehouse,2014,3399
184,Getty Research Institute Valencia Warehouse,2015,4481
185,Getty Research Institute Valencia Warehouse,2016,6021
186,Getty Research Institute Valencia Warehouse,2017,2177
187,Getty Research Institute Valencia Warehouse,2018,2112
188,Getty Research Institute Valencia Warehouse,2019,2814
189,Getty Research Institute Valencia Warehouse,2020,411
190,Getty Research Institute Valencia Warehouse,2021,179
191,Getty Research Institute Valencia Warehouse,2022,981
192,Getty Research Institute Valencia Warehouse,2023,466
193,Hamilton Public Library,2023,200
194,Harvard,2015,26
195,Harvard,2016,130
196,Harvard,2017,242
197,Harvard,2018,319
198,Harvard,2019,25
199,Harvard,2020,9
200,Harvard,2021,20
201,Harvard,2022,111
202,Harvard,2023,61
203,Hong Kong,2009,4
204,Hong Kong,2010,3
205,Hong Kong,2011,6
206,Hong Kong,2012,12
207,Hong Kong,2013,352
208,Hong Kong,2014,3
209,Hong Kong,2015,10
210,Hong Kong,2016,21525
211,Hong Kong,2017,91827
212,Hong Kong,2018,172892
213,Hong Kong,2019,6928
214,Hopewell Junction,2013,2
215,Hopewell Junction,2014,22
216,"Innodata Knowledge Services, Inc.",2018,15814
217,"Innodata Knowledge Services, Inc.",2019,346764
218,"Innodata Knowledge Services, Inc.",2020,736827
219,"Innodata Knowledge Services, Inc.",2021,895739
220,"Innodata Knowledge Services, Inc.",2022,929630
221,"Innodata Knowledge Services, Inc.",2023,348162
222,Internet Archive Headquarters,2006,29
223,Internet Archive Headquarters,2007,17
224,Internet Archive Headquarters,2008,110
225,Internet Archive Headquarters,2009,8237
226,Internet Archive Headquarters,2010,59150
227,Internet Archive Headquarters,2011,24
228,Internet Archive Headquarters,2012,5
229,Internet Archive Headquarters,2015,15
230,Internet Archive Headquarters,2017,1
231,Internet Archive Sheridan Headquarters,2007,23
232,Internet Archive Sheridan Headquarters,2008,629
233,Internet Archive Sheridan Headquarters,2009,1466
234,Internet Archive Sheridan Headquarters,2017,3
235,Internet Archive Sheridan Headquarters,2018,13
236,Internet Archive Sheridan Headquarters,2019,9
237,Internet Archive Sheridan Headquarters,2020,14
238,Internet Archive Sheridan Headquarters,2021,18
239,Internet Archive Sheridan Headquarters,2022,70
240,Internet Archive Sheridan Headquarters,2023,30
241,Internt Archive Physical Archive,2006,25902
242,Internt Archive Physical Archive,2007,45076
243,Internt Archive Physical Archive,2008,30186
244,Internt Archive Physical Archive,2009,12978
245,Internt Archive Physical Archive,2010,2
246,Internt Archive Physical Archive,2011,1
247,Internt Archive Physical Archive,2012,680
248,Internt Archive Physical Archive,2013,64
249,Internt Archive Physical Archive,2014,851
250,Internt Archive Physical Archive,2015,54
251,Internt Archive Physical Archive,2016,146
252,Internt Archive Physical Archive,2017,4
253,John Hopkins University Library Offsite Storage,2020,337
254,John Hopkins University Library Offsite Storage,2021,2105
255,John Hopkins University Library Offsite Storage,2022,1744
256,John Hopkins University Library Offsite Storage,2023,763
257,Library of Congress,2002,4
258,Library of Congress,2007,214
259,Library of Congress,2008,24648
260,Library of Congress,2009,41088
261,Library of Congress,2010,24776
262,Library of Congress,2011,29405
263,Library of Congress,2012,31816
264,Library of Congress,2013,15548
265,Library of Congress,2014,12176
266,Library of Congress,2015,7939
267,Library of Congress,2016,6278
268,Library of Congress,2017,6031
269,Library of Congress,2018,4786
270,Library of Congress,2019,5502
271,Library of Congress,2020,1557
272,Missouri Botanical Garden,2006,1
273,National Agricultural Library,2012,104
274,National Agricultural Library,2013,31034
275,National Agricultural Library,2014,32456
276,National Agricultural Library,2015,28779
277,National Agricultural Library,2016,23116
278,National Agricultural Library,2017,30034
279,National Agricultural Library,2018,16654
280,National Agricultural Library,2019,12140
281,National Agricultural Library,2020,10791
282,National Agricultural Library,2021,12646
283,National Agricultural Library,2022,13584
284,National Agricultural Library,2023,5635
285,National Library of Scotland,2008,840
286,National Library of Scotland,2009,1501
287,National Library of Scotland,2010,697
288,National Library of Scotland,2011,831
289,National Library of Scotland,2012,690
290,National Library of Scotland,2013,300
291,National Library of Scotland,2014,40
292,"Natural History Museum Library, London",2002,1
293,"Natural History Museum Library, London",2007,899
294,"Natural History Museum Library, London",2008,1510
295,"Natural History Museum Library, London",2009,1414
296,"Natural History Museum Library, London",2010,784
297,"Natural History Museum Library, London",2011,465
298,"Natural History Museum Library, London",2012,282
299,"Natural History Museum Library, London",2013,521
300,"Natural History Museum Library, London",2014,788
301,"Natural History Museum Library, London",2015,977
302,"Natural History Museum Library, London",2016,1033
303,"Natural History Museum Library, London",2017,413
304,"Natural History Museum Library, London",2018,706
305,"Natural History Museum Library, London",2019,579
306,"Natural History Museum Library, London",2020,272
307,"Natural History Museum Library, London",2022,106
308,New York Botanical Garden,2016,1
309,New York Botanical Garden,2017,35
310,New York Botanical Garden,2018,1
311,New York Botanical Garden,2020,1
312,North Carolina State University,2008,835
313,North Carolina State University,2009,1809
314,North Carolina State University,2010,553
315,Oberlin College Libraries,2015,52
316,Oberlin College Libraries,2016,671
317,Oberlin College Libraries,2017,98
318,Oberlin College Libraries,2018,73
319,Oberlin College Libraries,2019,574
320,Oberlin College Libraries,2020,150
321,Oberlin College Libraries,2021,63
322,Oberlin College Libraries,2022,21
323,Oberlin College Libraries,2023,51
324,Peabody Essex Museum,2019,6
325,Perkins School for the Blind,2015,8
326,Perkins School for the Blind,2016,17
327,Perkins School for the Blind,2017,34
328,Perkins School for the Blind,2018,10
329,Perkins School for the Blind,2019,12
330,Perpustakaan Provinsi Bali,2012,560
331,Princeton University,2002,403
332,Princeton University,2008,9364
333,Princeton University,2009,8389
334,Princeton University,2010,10923
335,Princeton University,2011,17362
336,Princeton University,2012,22822
337,Princeton University,2013,18611
338,Princeton University,2014,21489
339,Princeton University,2015,26231
340,Princeton University,2016,15152
341,Princeton University,2017,10932
342,Princeton University,2018,12434
343,Princeton University,2019,5137
344,Princeton University,2020,2536
345,Princeton University,2021,2546
346,Princeton University,2022,5142
347,Princeton University,2023,2852
348,Research Institute of Korean Studies,2016,3
349,Research Institute of Korean Studies,2018,4
350,San Francisco Public Library,2011,355
351,San Francisco Public Library,2012,1851
352,San Francisco Public Library,2013,2190
353,San Francisco Public Library,2014,2647
354,San Francisco Public Library,2015,1721
355,San Francisco Public Library,2016,1987
356,San Francisco Public Library,2017,520
357,Servants of knowledge,2019,800
358,Smithsonian Libraries and Archives,2007,188
359,Smithsonian Libraries and Archives,2008,515
360,Smithsonian Libraries and Archives,2009,1723
361,Smithsonian Libraries and Archives,2010,858
362,Smithsonian Libraries and Archives,2011,665
363,Smithsonian Libraries and Archives,2012,2025
364,Smithsonian Libraries and Archives,2013,1618
365,Smithsonian Libraries and Archives,2014,1594
366,Smithsonian Libraries and Archives,2015,1494
367,Smithsonian Libraries and Archives,2016,1803
368,Smithsonian Libraries and Archives,2017,1668
369,Smithsonian Libraries and Archives,2018,1232
370,Smithsonian Libraries and Archives,2019,893
371,Smithsonian Libraries and Archives,2020,187
372,Smithsonian Libraries and Archives,2022,11
373,Smithsonian Libraries and Archives,2023,188
374,Stanford University,2019,6
375,Stanford University,2022,32
376,State Library of Pennsylvania,2013,46
377,State Library of Pennsylvania,2014,1154
378,State Library of Pennsylvania,2015,2407
379,State Library of Pennsylvania,2016,3533
380,State Library of Pennsylvania,2017,6780
381,State Library of Pennsylvania,2018,5622
382,State Library of Pennsylvania,2019,2132
383,State Library of Pennsylvania,2020,422
384,State Library of Pennsylvania,2021,34
385,State Library of Pennsylvania,2022,74
386,State Library of Pennsylvania,2023,2
387,Staten Island Museum,2021,14
388,Staten Island Museum,2022,57
389,Staten Island Museum,2023,74
390,The Archive of Contemporary Music,2011,633
391,The Archive of Contemporary Music,2012,1160
392,The Archive of Contemporary Music,2013,403
393,The Archive of Contemporary Music,2014,147
394,The Archive of Contemporary Music,2015,106
395,The Archive of Contemporary Music,2016,409
396,The Archive of Contemporary Music,2017,134
397,The Ohio State University,2016,10
398,The Ohio State University,2017,58
399,The Ohio State University,2018,95
400,The Ohio State University,2019,32
401,The Ohio State University,2020,44
402,The Ohio State University,2021,413
403,The Ohio State University,2022,163
404,The Ohio State University,2023,9
405,The Servants of Knowledge,2019,853
406,The Servants of Knowledge,2020,1403
407,The Servants of Knowledge,2021,5110
408,The Servants of Knowledge,2022,4590
409,The Servants of Knowledge,2023,2359
410,UCLA,2006,11495
411,UCLA,2007,41964
412,UCLA,2008,42019
413,UCLA,2009,24092
414,UCLA,2010,19455
415,UCLA,2011,1415
416,UCLA,2012,926
417,UCLA,2013,683
418,UCLA,2014,1922
419,UCLA,2015,1697
420,UCLA,2016,1909
421,UCLA,2017,3238
422,UCLA,2018,3138
423,UCLA,2019,1760
424,UCLA,2020,376
425,UCLA,2021,220
426,UCLA,2022,905
427,UCLA,2023,522
428,UIUC,2001,3
429,UIUC,2007,4597
430,UIUC,2008,6139
431,UIUC,2009,6792
432,UIUC,2010,4143
433,UIUC,2011,3999
434,UIUC,2012,9990
435,UIUC,2013,12824
436,UIUC,2014,4817
437,UIUC,2015,3903
438,UIUC,2016,6131
439,UIUC,2017,11732
440,UIUC,2018,6926
441,UIUC,2019,6714
442,UIUC,2020,2325
443,UIUC,2021,2743
444,UIUC,2022,4625
445,UIUC,2023,2251
446,UNC Chapel Hill,2007,21
447,UNC Chapel Hill,2008,2280
448,UNC Chapel Hill,2009,3103
449,UNC Chapel Hill,2010,3624
450,UNC Chapel Hill,2011,6689
451,UNC Chapel Hill,2012,9376
452,UNC Chapel Hill,2013,6692
453,UNC Chapel Hill,2014,7771
454,UNC Chapel Hill,2015,2473
455,UNC Chapel Hill,2017,2
456,UNC Chapel Hill,2018,2554
457,UNC Chapel Hill,2019,4164
458,UNC Chapel Hill,2020,2376
459,UNC Chapel Hill,2021,2702
460,UNC Chapel Hill,2022,2339
461,UNC Chapel Hill,2023,2783
462,Universidad Francisco Marroquín,2008,26
463,Universidad Francisco Marroquín,2009,286
464,Universidad Francisco Marroquín,2010,64
465,Universidad Francisco Marroquín,2011,376
466,Universidad Francisco Marroquín,2012,123
467,Universidad Francisco Marroquín,2013,503
468,Universidad Francisco Marroquín,2014,181
469,Universidad Francisco Marroquín,2015,466
470,Universidad Francisco Marroquín,2016,226
471,Universidad Francisco Marroquín,2017,152
472,Universidad Francisco Marroquín,2018,435
473,Universidad Francisco Marroquín,2019,51
474,Universidad Francisco Marroquín,2020,126
475,Universidad Francisco Marroquín,2021,263
476,Universidad Francisco Marroquín,2022,541
477,Universidad Francisco Marroquín,2023,222
478,University of Alberta,2008,1465
479,University of Alberta,2009,19852
480,University of Alberta,2010,12512
481,University of Alberta,2011,12372
482,University of Alberta,2012,19607
483,University of Alberta,2013,11361
484,University of Alberta,2014,1517
485,University of Alberta,2015,4444
486,University of Alberta,2016,6800
487,University of Alberta,2017,5802
488,University of Alberta,2018,3189
489,University of Alberta,2019,6893
490,University of Alberta,2020,2958
491,University of Alberta,2021,1929
492,University of Alberta,2022,5987
493,University of Alberta,2023,4392
494,University of Chinese Academy of Sciences,2010,379
495,University of Chinese Academy of Sciences,2011,891
496,University of Chinese Academy of Sciences,2012,1
497,University of Chinese Academy of Sciences,2014,1
498,University of Florida,2015,910
499,University of Florida,2016,5735
500,University of Florida,2017,625
501,University of Florida,2018,919
502,University of Florida,2019,99
503,"University of Maryland, College Park",2007,164
504,"University of Maryland, College Park",2008,2223
505,"University of Maryland, College Park",2009,64
506,University of Pretoria,2014,55
507,University of Pretoria,2015,202
508,University of Pretoria,2016,1631
509,University of Pretoria,2017,494
510,University of Pretoria,2018,9
511,University of Pretoria,2019,4
512,University of Toronto,2002,1
513,University of Toronto,2006,25753
514,University of Toronto,2007,55018
515,University of Toronto,2008,74589
516,University of Toronto,2009,56225
517,University of Toronto,2010,60408
518,University of Toronto,2011,38712
519,University of Toronto,2012,16109
520,University of Toronto,2013,23435
521,University of Toronto,2014,22757
522,University of Toronto,2015,11242
523,University of Toronto,2016,7875
524,University of Toronto,2017,5612
525,University of Toronto,2018,11079
526,University of Toronto,2019,6540
527,University of Toronto,2020,2732
528,University of Toronto,2021,1787
529,University of Toronto,2022,24247
530,University of Toronto,2023,12671
531,University of Victoria,2015,559
532,University of Victoria,2016,1661
533,University of Victoria,2017,1280
534,University of Victoria,2018,526
535,University of Victoria,2019,977
536,University of Victoria,2020,279
537,University of Victoria,2021,1390
538,University of Victoria,2022,69
539,University of Victoria,2023,101
540,University of Warwick,2016,9
541,University of Warwick,2017,20
542,University of Warwick,2018,521
543,University of Warwick,2019,103
544,University of Warwick,2023,61
545,Washington University in St. Louis,2015,1619
546,Washington University in St. Louis,2016,3625
547,Washington University in St. Louis,2017,3614
548,Washington University in St. Louis,2018,2710
549,Washington University in St. Louis,2019,1675
550,Washington University in St. Louis,2020,2474
551,Washington University in St. Louis,2021,299
552,Washington University in St. Louis,2022,1243
553,Washington University in St. Louis,2023,841
554,Yiddish Book Center,2011,80
555,Yiddish Book Center,2012,672
556,Yiddish Book Center,2013,344
557,Zhejiang University,2011,1
